ID,Age,Category,Day,gender,tripduration
450,1950 - 1954,4,27,0,0.0
451,1950 - 1954,4,27,1,733.146627566
452,1950 - 1954,4,27,2,698.296511628
453,1950 - 1954,4,28,0,0.0
454,1950 - 1954,4,28,1,736.552556818
455,1950 - 1954,4,28,2,745.142076503
456,1950 - 1954,4,29,0,329.0
457,1950 - 1954,4,29,1,724.67807154
458,1950 - 1954,4,29,2,699.027777778
459,1950 - 1954,4,30,0,2173.33333333
460,1950 - 1954,4,30,1,697.743772242
461,1950 - 1954,4,30,2,738.276422764
462,1950 - 1954,4,31,0,700.333333333
463,1950 - 1954,4,31,1,840.519379845
464,1950 - 1954,4,31,2,872.922155689
465,1955 - 1959,5,01,0,799.2
466,1955 - 1959,5,01,1,1118.35696361
467,1955 - 1959,5,01,2,850.573875803
468,1955 - 1959,5,02,0,395.0
469,1955 - 1959,5,02,1,820.709803922
470,1955 - 1959,5,02,2,715.634615385
471,1955 - 1959,5,03,0,263.0
472,1955 - 1959,5,03,1,708.187427241
473,1955 - 1959,5,03,2,729.633093525
474,1955 - 1959,5,04,0,719.5
475,1955 - 1959,5,04,1,663.77689243
476,1955 - 1959,5,04,2,666.140425532
477,1955 - 1959,5,05,0,566.333333333
478,1955 - 1959,5,05,1,664.607799853
479,1955 - 1959,5,05,2,755.392370572
480,1955 - 1959,5,06,0,452.0
481,1955 - 1959,5,06,1,702.760207388
482,1955 - 1959,5,06,2,756.146608315
483,1955 - 1959,5,07,0,396.0
484,1955 - 1959,5,07,1,656.740963855
485,1955 - 1959,5,07,2,712.048780488
486,1955 - 1959,5,08,0,615.5
487,1955 - 1959,5,08,1,711.043607532
488,1955 - 1959,5,08,2,674.860215054
489,1955 - 1959,5,09,0,350.0
490,1955 - 1959,5,09,1,710.752969121
491,1955 - 1959,5,09,2,766.010810811
492,1955 - 1959,5,10,0,1156.0
493,1955 - 1959,5,10,1,699.947435897
494,1955 - 1959,5,10,2,669.064724919
495,1955 - 1959,5,11,0,289.0
496,1955 - 1959,5,11,1,727.679782904
497,1955 - 1959,5,11,2,840.190311419
498,1955 - 1959,5,12,0,765.333333333
499,1955 - 1959,5,12,1,758.344632768
500,1955 - 1959,5,12,2,761.985673352
501,1955 - 1959,5,13,0,915.5
502,1955 - 1959,5,13,1,662.924593968
503,1955 - 1959,5,13,2,756.219178082
504,1955 - 1959,5,14,0,738.285714286
505,1955 - 1959,5,14,1,666.571964018
506,1955 - 1959,5,14,2,751.923076923
507,1955 - 1959,5,15,0,914.428571429
508,1955 - 1959,5,15,1,698.949035813
509,1955 - 1959,5,15,2,782.104545455
510,1955 - 1959,5,16,0,1261.5
511,1955 - 1959,5,16,1,683.219135802
512,1955 - 1959,5,16,2,1594.85630499
513,1955 - 1959,5,17,0,385.0
514,1955 - 1959,5,17,1,744.691756272
515,1955 - 1959,5,17,2,799.409090909
516,1955 - 1959,5,18,0,526.5
517,1955 - 1959,5,18,1,662.041939712
518,1955 - 1959,5,18,2,774.148305085
519,1955 - 1959,5,19,0,643.272727273
520,1955 - 1959,5,19,1,1325.7913299
521,1955 - 1959,5,19,2,804.434889435
522,1955 - 1959,5,20,0,895.333333333
523,1955 - 1959,5,20,1,664.97640118
524,1955 - 1959,5,20,2,1129.72705314
525,1955 - 1959,5,21,0,0.0
526,1955 - 1959,5,21,1,629.497777778
527,1955 - 1959,5,21,2,695.259259259
528,1955 - 1959,5,22,0,905.4
529,1955 - 1959,5,22,1,697.305120167
530,1955 - 1959,5,22,2,741.291814947
531,1955 - 1959,5,23,0,1029.25
